Tijdstempel,programme,course_ML,course_retrieval,course_statistics,course_databases,gender,ChatGPT,birthday,students_in_room,prev_answer_stand,stress_level,sports_per_week,random_number,bed_time,good_day_(1),good_day_(2)
2023-04-04 12:10:49,AI,1,0,1,1,2,8,1998-03-31,222,0,98,0,5,5:30:00,5,2
2023-04-04 12:10:50,Comp Sci,1,1,1,1,2,8,1999-05-02,300,0,70,1,69,0:00:00,5,3
2023-04-04 12:10:50,Hum Lang Tech,1,0,1,0,2,1,2000-11-06,200,0,10,2,5,0:00:00,4,3
2023-04-04 12:10:50,Finance,1,1,1,0,1,0,2000-06-02,350,0,0,4,6,22:00:00,5,2
2023-04-04 12:10:51,BA,1,0,1,0,2,1,2000-06-02,150,0,15,5,8,0:30:00,4,2
2023-04-04 12:10:51,AI,0,0,1,0,2,1,2000-02-19,350,0,70,1,28,0:30:00,5,4
2023-04-04 12:10:52,CS,1,0,1,0,1,0,1997-08-07,300,0,50,4,3,1:00:00,1,5
2023-04-04 12:10:53,CS,1,0,1,1,2,1,1997-05-01,580,0,60,1,8,0:00:00,4,5
2023-04-04 12:10:53,AI,0,0,1,0,2,1,1997-05-01,300,0,50,1,99,23:30:00,4,5
2023-04-04 12:10:53,CS,1,1,1,1,1,1,2001-07-08,100,0,40,7,6,0:30:00,5,4
2023-04-04 12:10:54,AI,1,0,1,1,2,0,1997-06-17,285,0,40,0,65435798764476555,23:00:00,1,4
2023-04-04 12:10:55,AI,0,0,1,1,1,0,1997-06-17,400,0,5,10,7556544,23:30:00,1,1
2023-04-04 12:10:55,BA,1,0,1,1,2,0,1996-08-18,350,0,20,15,26,22:30:00,4,3
2023-04-04 12:10:56,BA,1,0,1,1,1,0,1996-08-18,550,0,30,10,8,23:00:00,4,3
2023-04-04 12:10:56,AI,1,0,1,1,2,1,1998-12-04,170,0,65,8,69,22:30:00,4,1
2023-04-04 12:10:56,CS,1,0,1,1,2,0,1999-09-16,581,0,100,0,69,23:00:00,1,1
2023-04-04 12:10:56,CS,1,1,1,1,1,8,1999-09-16,400,1,10,6,8,1:00:00,0,1
2023-04-04 12:10:56,CS,1,0,1,1,1,1,2000-11-05,200,0,100,2,7,4:00:00,5,2
2023-04-04 12:10:56,CS,1,0,1,0,1,1,1996-10-26,300,0,10,7,936,23:30:00,0,5
2023-04-04 12:10:56,CS,0,0,1,0,2,8,1996-10-26,365,0,99,0,7,23:40:00,3,2
2023-04-04 12:10:56,BA,1,1,1,1,2,1,2001-10-23,555,0,66,4,3,23:00:00,5,3
2023-04-04 12:10:56,Comp Sci,1,0,1,0,1,0,1999-06-22,226,0,5,3,73837471910183,0:00:00,3,4
2023-04-04 12:10:57,AI,1,1,0,1,1,1,1999-06-22,280,0,51,3,42,23:00:00,2,5
2023-04-04 12:10:57,AI,1,1,1,0,2,1,2000-08-12,500,0,40,6,18,22:00:00,5,4
2023-04-04 12:10:57,CS,0,0,1,1,1,1,2000-08-12,500,0,40,6,1337,0:30:00,5,6
2023-04-04 12:10:57,BA,1,0,1,0,2,1,1999-09-15,175,0,15,8,9,0:15:00,4,5
2023-04-04 12:10:57,CS,1,0,0,0,1,1,1997-12-12,500,0,5,6,8,2:00:00,3,6
2023-04-04 12:10:57,CS,1,0,1,0,2,1,2000-09-04,300,0,15,9,56,0:00:00,4,3
2023-04-04 12:10:57,CS,0,1,1,0,2,1,2000-09-04,400,0,75,7,3,21:30:00,1,4
2023-04-04 12:10:58,Info Sci,1,1,1,1,1,1,1999-08-23,250,0,40,3,Driehonderd,23:59:00,4,1
2023-04-04 12:10:58,Finance,1,1,1,0,1,0,1997-08-31,284,0,5,2,6,23:30:00,4,6
2023-04-04 12:10:58,AI,1,0,1,1,1,1,2000-05-23,220,0,5,7,6,23:30:00,5,5
2023-04-04 12:10:58,AI,0,0,1,1,7,1,1999-11-24,200,0,90,9,pi,23:30:00,0,1
2023-04-04 12:10:58,AI,1,0,1,0,2,1,1999-11-24,222,0,99,2,42,3:00:00,4,2
2023-04-04 12:10:58,Finance,1,0,1,0,2,1,1999-11-24,453,0,65,4,1827,0:00:00,2,1
2023-04-04 12:10:59,AI,1,1,1,1,1,1,1999-09-27,31,1,65,0,90,2:35:00,6,6
2023-04-04 12:10:59,QRM,0,0,1,0,2,1,2000-05-02,250,0,70,6,536,22:00:00,3,1
2023-04-04 12:10:59,CS,0,1,1,1,1,1,2000-05-02,300,0,50,1,8,0:00:00,0,2
2023-04-04 12:11:00,CS,0,0,1,0,2,1,1998-04-03,487,0,9,11,4,23:00:00,5,4
2023-04-04 12:11:00,BA,1,1,1,1,2,1,1998-04-03,300,0,50,4,7,23:15:00,4,3
2023-04-04 12:11:00,AI,1,1,1,1,2,1,1997-09-10,400,0,70,10,9997655,22:50:00,4,3
2023-04-04 12:11:00,Comp Sci,1,0,1,1,2,1,1997-09-10,550,0,70,3,7,1:20:00,4,6
2023-04-04 12:11:00,AI,0,0,1,0,2,1,2000-06-08,250,0,86,6,7,23:15:00,5,3
2023-04-04 12:11:00,Finance,1,0,1,0,1,8,1997-02-12,187,0,85,0,3840,1:00:00,5,1
2023-04-04 12:11:01,Finance,0,0,1,0,1,1,1997-02-12,236,0,99,6,77266200376655155388366366655583,22:00:00,5,5
2023-04-04 12:11:01,Finance,1,0,1,0,1,1,1998-04-30,450,0,69,8,28,23:30:00,5,2
2023-04-04 12:11:02,AI,1,0,1,1,2,1,1998-04-30,229,0,100,1,9,0:30:00,5,2
2023-04-04 12:11:02,CS,1,0,1,0,2,1,1997-04-17,300,0,68,1,76,3:00:00,4,6
2023-04-04 12:11:02,AI,0,0,1,1,2,1,1999-06-14,100,0,10,1,99,23:00:00,4,5
2023-04-04 12:11:03,AI,1,0,1,1,1,0,1997-05-30,420,0,30,6,9,0:25:00,5,4
2023-04-04 12:11:03,AI,1,0,1,0,2,1,1997-08-06,230,0,43,5,37,0:20:00,5,4
2023-04-04 12:11:03,AI,1,1,1,0,7,1,1999-05-06,350,0,1,10,2645738475736375389,1:00:00,4,5
2023-04-04 12:11:03,BA,1,0,1,0,1,1,2000-03-04,350,0,22,7,58,23:30:00,4,1
2023-04-04 12:11:03,AI,1,0,1,0,1,8,2000-03-04,427,0,62,5,27922261,2:00:00,3,1
2023-04-04 12:11:04,Exch,1,0,1,0,2,1,2000-03-04,456,0,99,7,7,23:59:00,5,3
2023-04-04 12:11:04,CS,1,1,1,0,1,8,1997-08-11,350,0,60,8,3.14,0:30:00,2,1
2023-04-04 12:11:04,CS,1,1,1,1,4,0,1999-11-06,250,0,40,5,21,23:45:00,4,6
2023-04-04 12:11:05,BA,1,1,1,1,2,1,1999-11-06,900,0,100,0,3,22:30:00,1,5
2023-04-04 12:11:05,Comp Sci,1,0,1,0,1,1,2000-05-19,300,0,10,8,948467618289167649818181849739491,22:00:00,1,2
2023-04-04 12:11:05,Comp Sci,1,0,1,0,1,1,2000-08-14,275,0,30,6,42,1:00:00,3,5
2023-04-04 12:11:05,AI,1,0,1,1,1,0,1997-02-05,376,0,60,10,6721,22:16:00,1,5
2023-04-04 12:11:05,CS,0,0,0,0,1,1,1994-07-14,376,0,60,5,7,0:00:00,4,4
2023-04-04 12:11:06,AI,1,0,0,1,2,0,1985-04-23,413,0,74,5,623,21:53:00,4,5
2023-04-04 12:11:06,Comp Sci,0,1,1,0,2,1,1997-09-30,325,0,45,3,72,2:00:00,1,1
2023-04-04 12:11:06,AI,1,0,1,0,1,1,1997-12-22,543,0,15,6,158295726,0:30:00,4,1
2023-04-04 12:11:06,CS,1,0,0,1,1,8,1999-03-13,150,0,80,5,88,2:30:00,1,1
2023-04-04 12:11:06,CS,1,0,1,1,1,0,1998-05-11,600,0,65,4,69,2:30:00,2,1
2023-04-04 12:11:06,AI,0,1,1,1,2,1,1999-04-25,380,0,65,10,4,1:00:00,1,0
2023-04-04 12:11:06,CS,0,0,1,1,2,1,1999-05-25,280,0,40,6,68,23:00:00,4,1
2023-04-04 12:11:07,AI,1,0,1,1,1,1,1999-12-05,350,0,20,1,4,2:00:00,0,0
2023-04-04 12:11:07,Finance,1,0,1,0,1,0,1999-01-20,400,0,15,8,1,22:30:00,1,5
2023-04-04 12:11:07,CS,1,0,0,0,1,8,1999-01-20,450,0,23,10,23,1:00:00,2,1
2023-04-04 12:11:07,Bio Sci,0,0,1,0,1,0,2001-01-15,400,0,20,6,8,23:00:00,2,5
2023-04-04 12:11:07,P Analysis,0,0,1,0,2,0,2001-01-15,456,0,85,3,3,23:30:00,4,2
2023-04-04 12:11:08,AI,1,0,1,1,2,1,1992-08-11,575,0,99,10,7,0:22:00,2,4
2023-04-04 12:11:08,Comp Sci,1,0,1,1,1,1,1992-08-11,300,0,50,5,4793374949,0:00:00,2,5
2023-04-04 12:11:08,CS,0,1,0,1,1,0,1987-04-25,200,0,0,4,59,0:00:00,5,2
2023-04-04 12:11:08,QRM,1,0,0,0,2,1,2001-08-08,350,0,95,4,8,23:30:00,1,0
2023-04-04 12:11:09,AI,1,1,1,1,1,1,1997-01-17,287,0,6,4,7,2:45:00,6,6
2023-04-04 12:11:10,AI,1,1,1,0,1,1,1997-01-17,400,0,10,8,63,0:30:00,4,1
2023-04-04 12:11:10,AI,1,1,1,0,2,1,1997-01-17,400,0,10,3,6,23:00:00,4,3
2023-04-04 12:11:11,BA,1,0,1,1,2,1,1998-11-15,400,0,70,3,6,0:00:00,5,1
2023-04-04 12:11:11,AI,1,1,1,1,1,0,1998-11-15,180,0,0,8,29,0:00:00,1,6
2023-04-04 12:11:11,AI,0,0,1,0,1,1,2001-03-10,283,0,8,9,42,23:00:00,1,6
2023-04-04 12:11:12,CS,1,0,1,0,2,1,2001-03-10,350,0,50,3,33,23:30:00,6,3
2023-04-04 12:11:12,CS,0,0,1,0,1,1,1999-01-15,400,0,25,10,420,23:00:00,#N/A,3
2023-04-04 12:11:12,Comp Sci,0,1,1,0,2,1,1999-10-07,450,0,10,4,5,2:00:00,2,1
2023-04-04 12:11:12,BA,1,1,1,1,1,1,1995-07-07,400,0,30,6,73,0:00:00,1,1
2023-04-04 12:11:12,AI,1,0,1,1,1,1,1995-07-07,400,0,10,10,2,23:00:00,4,1
2023-04-04 12:11:13,BA,1,1,1,1,2,1,2000-09-11,500,0,90,3,12,0:30:00,5,4
2023-04-04 12:11:13,BA,1,1,1,1,1,0,2000-07-09,400,0,90,4,420,23:30:00,1,2
2023-04-04 12:11:13,BA,1,1,1,1,1,1,2000-07-09,334,0,80,20,4,21:00:00,1,2
2023-04-04 12:11:13,CS,1,1,1,0,7,0,2001-01-10,657,0,80,0,83635367383883939383726242,23:58:00,1,1
2023-04-04 12:11:13,CLS,1,0,1,0,1,0,1999-12-21,348,0,0,15,5,23:00:00,1,1
2023-04-04 12:11:14,AI,0,0,1,1,2,0,1999-12-23,350,0,20,7,23,0:30:00,0,1
2023-04-04 12:11:14,AI,1,0,1,0,2,1,1999-11-06,400,0,26,5,53645936,0:30:00,1,3
2023-04-04 12:11:15,AI,1,0,1,1,1,1,1990-01-01,500,0,26,5,314159,23:05:00,4,0
2023-04-04 12:11:15,Comp Sci,0,0,1,0,1,1,1998-08-02,189,0,75,10,7362562722,0:26:00,2,4
2023-04-04 12:11:16,AI,1,1,1,1,2,1,2000-05-03,520,0,20,2,67,23:00:00,5,2
2023-04-04 12:11:16,CS,1,0,0,0,2,1,1999-06-16,500,1,99,2,6,23:01:00,1,4
2023-04-04 12:11:16,CS,0,1,1,1,2,0,2000-12-14,400,0,65,4,4,1:00:00,4,5
2023-04-04 12:11:16,CS,1,1,1,1,2,8,2000-03-21,300,0,20,6,3,0:00:00,4,1
2023-04-04 12:11:16,CS,1,1,1,1,1,0,1998-03-23,477,0,45,4,3,0:30:00,0,6
2023-04-04 12:11:17,CS,1,0,1,1,2,1,1998-03-23,350,1,7,7,7,2:00:00,1,5
2023-04-04 12:11:17,CS,0,0,1,0,2,0,1997-11-23,250,0,50,1,73,2:00:00,0,3
2023-04-04 12:11:18,Comp Sci,1,0,1,1,1,1,2000-11-18,450,0,60,15,27,0:00:00,1,1
2023-04-04 12:11:18,CS,1,0,1,1,1,8,1998-05-08,450,0,60,10,3,23:00:00,4,0
2023-04-04 12:11:18,Digi Bus,1,0,1,1,1,1,1998-01-05,200,0,20,7,7,21:00:00,1,4
2023-04-04 12:11:18,AI,1,0,1,1,1,1,1998-03-09,250,0,70,7,9,2:00:00,2,1
2023-04-04 12:11:19,CS,1,0,0,0,2,1,1998-03-09,400,1,70,0,9,0:30:00,5,3
2023-04-04 12:11:19,CS,1,0,1,1,2,1,2000-11-29,200,0,99,1,666,2:00:00,4,1
2023-04-04 12:11:19,CS,0,0,0,0,1,1,2000-11-29,300,0,100,7,7,1:00:00,4,5
2023-04-04 12:11:19,AI,1,0,1,1,2,0,1998-03-31,450,0,5,6,3,1:00:00,1,4
2023-04-04 12:11:19,QRM,0,0,1,0,2,0,2001-05-10,451,0,90,2,8,0:30:00,6,5
2023-04-04 12:11:20,CS,0,0,1,0,1,8,2001-05-10,420,0,100,3,20,22:30:00,0,0
2023-04-04 12:11:20,CS,1,1,0,1,1,8,2001-05-10,438,0,100,1,0,22:30:00,6,6
2023-04-04 12:11:21,CS,0,0,1,0,1,1,1995-05-01,500,0,60,5,7,0:30:00,2,4
2023-04-04 12:11:21,BA,1,0,1,1,4,1,1999-06-20,200,0,30,3,6,0:00:00,2,0
2023-04-04 12:11:21,CS,1,0,1,1,1,0,1999-06-20,250,0,85,5,420,23:50:00,5,1
2023-04-04 12:11:21,BA,1,1,1,1,2,1,2001-10-10,350,0,60,2,55,23:30:00,4,5
2023-04-04 12:11:21,BA,1,1,1,1,2,1,1999-08-18,250,0,73,0,73,23:00:00,2,3
2023-04-04 12:11:21,AI,0,0,1,1,2,1,2000-06-29,200,0,5,8,1,23:30:00,1,5
2023-04-04 12:11:22,CS,1,0,0,0,1,1,1999-09-11,230,0,5,0,333,2:00:00,1,5
2023-04-04 12:11:22,CS,0,0,1,0,1,1,2000-11-18,250,0,25,4,18364,22:30:00,1,1
2023-04-04 12:11:22,BA,1,0,1,1,1,1,1999-09-21,300,0,5,10,46372726,23:00:00,1,4
2023-04-04 12:11:22,AI,1,0,1,1,5,8,1999-09-21,800,0,100,8,726361918372611819732618191817,2:00:00,0,5
2023-04-04 12:11:23,CS,0,0,1,1,7,8,1990-11-20,400,1,50,8,2022222,1:00:00,4,5
2023-04-04 12:11:23,CS,0,0,1,0,1,1,1990-11-20,400,0,50,21,99,1:00:00,5,6
2023-04-04 12:11:23,AI,0,0,1,0,5,8,1995-04-23,266,0,11,10,237948422,1:00:00,3,1
2023-04-04 12:11:24,CS,0,0,1,1,1,0,1999-08-12,380,0,40,4,17,0:00:00,0,4
2023-04-04 12:11:24,CS,0,0,1,0,1,0,1999-08-12,400,0,5,10,5,23:50:00,1,2
2023-04-04 12:11:24,CS,1,0,1,0,1,1,1999-08-12,643,0,69,7,69,1:00:00,4,6
2023-04-04 12:11:25,AI,1,1,1,1,1,8,1999-03-12,581,0,39,1,13,2:01:00,5,0
2023-04-04 12:11:25,AI,1,1,1,1,2,8,1999-08-24,250,0,50,2,24,0:40:00,4,3
2023-04-04 12:11:25,AI,1,1,1,1,2,0,2001-09-14,458,0,68,6,17,23:59:00,4,1
2023-04-04 12:11:26,BA,1,0,1,0,2,1,2000-05-19,588,0,80,1,8,22:00:00,4,3
2023-04-04 12:11:26,CS,0,1,1,0,2,1,2000-05-19,400,0,70,5,119,1:30:00,4,5
2023-04-04 12:11:26,CS,1,1,0,1,2,1,1998-09-20,400,0,70,2,45,2:00:00,3,5
2023-04-04 12:11:26,AI,1,0,1,0,2,0,1996-10-28,410,0,40,0,9,2:00:00,6,2
2023-04-04 12:11:26,CS,1,1,1,1,2,1,2000-11-25,300,0,100,0,886,1:50:00,4,0
2023-04-04 12:11:27,AI,1,1,1,1,2,1,1998-05-05,418,0,18,3,68,22:00:00,4,2
2023-04-04 12:11:27,Finance,1,0,1,0,1,1,1999-11-05,325,0,31,4,99,23:30:00,4,6
2023-04-04 12:11:27,BA,1,0,1,0,2,0,1999-06-01,500,0,98,3,6,23:00:00,5,1
2023-04-04 12:11:28,Comp Sci,1,0,1,1,2,1,1999-08-23,400,0,80,4,3,23:45:00,0,3
2023-04-04 12:11:28,CS,0,0,0,0,1,1,1998-02-05,339,0,80,2,69420,1:00:00,4,3
2023-04-04 12:11:28,BA,1,0,1,1,2,1,1998-02-05,500,0,60,3,4,1:00:00,4,5
2023-04-04 12:11:28,CS,0,1,1,0,1,8,2000-06-13,300,0,10,4,72,1:00:00,3,1
2023-04-04 12:11:28,CS,1,1,1,1,1,1,1998-04-17,520,0,20,5,17,1:30:00,2,1
2023-04-04 12:11:29,CS,1,0,1,0,1,1,1997-11-06,400,0,30,6,27,2:00:00,0,1
2023-04-04 12:11:29,PHD,0,0,1,1,2,0,1999-04-15,473,0,15,4,8,23:00:00,4,1
2023-04-04 12:11:30,Comp Sci,0,1,1,1,2,1,2000-02-21,600,0,30,2,2,1:00:00,2,1
2023-04-04 12:11:30,CS,0,1,0,1,2,1,2000-02-21,250,1,99,2,3,4:00:00,2,4
2023-04-04 12:11:30,CS,1,1,0,1,1,0,2001-09-09,300,0,30,6,69,1:00:00,1,4
2023-04-04 12:11:30,CS,1,0,0,0,2,1,2000-10-09,500,0,33,2,37,0:40:00,6,1
2023-04-04 12:11:30,CLS,0,1,1,0,1,1,2000-10-09,400,0,30,4,582948164919474718928472615648910748748284728949293765313567899097472791983646595910916526819048857579202010109485748929275747382991919847575748389291010,23:30:00,1,5
2023-04-04 12:11:32,CS,1,0,0,0,2,0,2000-06-20,400,0,70,4,98,1:30:00,4,3
2023-04-04 12:11:33,CS,0,0,1,0,2,0,2001-07-07,500,0,60,4,7,22:30:00,4,3
2023-04-04 12:11:33,CS,0,0,1,1,1,1,2001-07-07,420,0,20,9,7,0:00:00,5,4
2023-04-04 12:11:33,CS,1,0,0,0,1,1,1999-02-04,332,0,10,3,14,0:30:00,5,0
2023-04-04 12:11:33,AI,0,0,1,1,1,1,1995-03-11,140,0,10,3,69,1:00:00,5,5
2023-04-04 12:11:33,AI,0,0,1,0,1,0,1995-03-11,500,0,30,1,73,23:00:00,4,1
2023-04-04 12:11:34,CS,1,1,1,1,1,1,1999-02-23,250,0,30,6,69,0:30:00,1,4
2023-04-04 12:11:34,CS,1,1,0,1,2,1,1999-02-23,350,0,60,2,101,3:00:00,1,4
2023-04-04 12:11:34,BA,1,1,1,1,1,1,1997-09-19,150,1,60,6,9,2:00:00,4,5
2023-04-04 12:11:34,CS,1,0,1,1,2,8,1997-09-19,183,0,60,9,4579,1:00:00,3,1
2023-04-04 12:11:35,BA,1,1,1,1,2,1,2001-01-04,450,0,60,5,11,23:30:00,4,1
2023-04-04 12:11:36,CS,0,0,1,0,1,1,1999-09-15,90,0,70,4,8798,1:00:00,0,0
2023-04-04 12:11:36,AI,0,0,1,1,2,8,1997-12-11,509,0,50,3,76,23:00:00,4,5
2023-04-04 12:11:37,AI,1,0,1,1,1,1,1997-12-11,290,0,1,10,56784,0:00:00,6,4
2023-04-04 12:11:37,BA,1,1,1,1,1,1,2000-09-05,350,0,20,8,9,2:00:00,4,6
2023-04-04 12:11:37,AI,1,0,1,1,2,1,2000-11-27,600,0,50,8,123008483,2:00:00,4,1
2023-04-04 12:11:37,AI,1,1,1,1,1,8,1999-12-30,557,0,50,4,19191919191919191919292929299292928384849495959,0:00:00,3,1
2023-04-04 12:11:38,Comp Sci,1,0,1,0,2,8,1998-12-10,300,0,50,2,5,2:00:00,5,5
2023-04-04 12:11:38,BA,1,0,1,1,1,1,2000-05-29,350,0,25,7,15,1:00:00,4,1
2023-04-04 12:11:38,AI,1,1,1,1,1,1,2000-05-29,350,0,0,7,π,1:00:00,6,4
2023-04-04 12:11:39,AI,1,1,1,1,1,1,2001-01-03,275,0,69,8,420,1:00:00,1,5
2023-04-04 12:11:39,AI,1,1,1,1,2,1,1999-11-19,298,0,0,7,1036275026301647291280104720,23:00:00,1,2
2023-04-04 12:11:39,CS,1,1,1,0,1,1,2002-02-20,400,0,20,5,37,0:30:00,5,1
2023-04-04 12:11:40,CS,1,0,1,0,2,1,2001-01-16,387,0,15,4,16,1:00:00,4,3
2023-04-04 12:11:40,BA,1,1,1,1,1,1,2001-01-16,386,0,2,10,4,3:00:00,6,1
2023-04-04 12:11:41,AI,1,1,1,1,2,0,2000-06-04,200,0,70,6,9,23:30:00,2,5
2023-04-04 12:11:41,CS,0,0,1,0,2,0,2000-06-04,150,0,70,2,7,1:00:00,6,3
